addr,bar,bpm_x10,interval_us,drift_us
13,1,1400,1849550,3397
13,2,1500,1717314,3029
13,3,1400,1602812,2812
13,4,1300,1717396,3111
13,5,1200,1849694,3541
13,6,1100,2003733,3733
13,7,1000,2185848,4030
13,8,900,2404447,4447
13,9,800,2671464,4798
13,10,700,3005683,5683
13,11,600,3435081,6510
13,12,600,4007269,7269
13,13,600,4007216,7216
13,14,700,4007207,7207
13,15,800,3435002,6431
13,16,900,3005337,5337
13,17,1000,2671566,4900
13,18,1100,2404279,4279
13,19,1200,2185865,4047
13,20,1300,2003675,3675
13,21,1400,1849687,3534
13,22,1500,1717575,3290
13,23,1600,1603098,3098
13,24,1700,1502864,2864
13,25,1795,1414570,2806
13,26,1796,1339664,2617
13,27,1793,1338932,2630
13,28,1798,1341235,2697

bar3と変化が落ち着いたタイミング(bar15)でメーターを回した
